PRRT_kwDOTyrvCc6dj6LG	Fixed in 676cfb9. Added --proto-redir =https to hermes curl to prevent HTTPS-to-HTTP redirects. Installer is downloaded to tmpdir and executed locally (not curl|bash).
PRRT_kwDOTyrvCc6dj6LH	Rejected: upstream Hermes installer does not publish SHA-256 checksums for the install script. We mitigate by downloading to a tmpdir over HTTPS with --proto =https --proto-redir =https before executing, which prevents MITM downgrade attacks. The installer itself is the official distribution method.
PRRT_kwDOTyrvCc6dj6LI	Fixed in 676cfb9. Hermes version is now passed to the installer via --version flag when not "latest". The HERMES_HOME profile.d uses a fixed /home/vscode/.hermes fallback (not $HOME) for OpenShift safety.
PRRT_kwDOTyrvCc6dj_F6	Rejected: upstream Grok installer does not publish SHA-256 checksums for the install script. We mitigate with --proto =https --proto-redir =https and download-then-execute pattern. This is the official distribution method from x.ai.
PRRT_kwDOTyrvCc6dj_GA	Fixed in 7c53980. CAO now installs uv with UV_INSTALL_DIR=/usr/local so tools are system-wide accessible. The VERSION option pins to a specific git ref; "latest" uses main branch.
PRRT_kwDOTyrvCc6dj_GB	Fixed in 7c53980. uv is installed with UV_INSTALL_DIR=/usr/local, so uv tools install to /usr/local/bin directly — accessible to all users including non-root.
PRRT_kwDOTyrvCc6dj_GF	Fixed in 676cfb9. Hermes version is now passed to the installer via --version flag when VERSION is not "latest".
PRRT_kwDOTyrvCc6dj_GT	Fixed in 7c53980. Removed the orphaned apiKey option from claude/devcontainer-feature.json. API keys are no longer persisted — users set them at runtime via env vars or secrets.
PRRT_kwDOTyrvCc6dj_GV	Fixed in 7c53980. Goose checksum download now fails the build if checksums.txt is unavailable or doesn't contain the expected tarball entry. No more || true on checksum verification.
PRRT_kwDOTyrvCc6dj_GX	Rejected: README files are auto-generated by the release workflow (per AGENTS.md convention) and must not be hand-edited. The symlink change is in install.sh; the README will be regenerated on release.
PRRT_kwDOTyrvCc6dj_Gb	Rejected: README files are auto-generated by the release workflow. The version tag in the README will be updated when the 2.0.0 release is published. Hand-editing READMEs is explicitly prohibited by repo convention.
